sektori,naeti,year,month
obshtestwen,743442,2002,6
obshtestwen,737554,2002,7
obshtestwen,735773,2002,8
obshtestwen,741009,2002,9
obshtestwen,736337,2002,10
obshtestwen,747931,2002,11
obshtestwen,757219,2002,12
obshtestwen,735711,2003,1
obshtestwen,761908,2003,2
obshtestwen,770495,2003,3
obshtestwen,774012,2003,4
obshtestwen,774561,2003,5
obshtestwen,778120,2003,6
obshtestwen,780226,2003,7
obshtestwen,778341,2003,8
obshtestwen,779821,2003,9
obshtestwen,772629,2003,10
obshtestwen,768505,2003,11
obshtestwen,758795,2003,12
obshtestwen,752425,2004,1
obshtestwen,760288,2004,2
obshtestwen,767321,2004,3
obshtestwen,769199,2004,4
obshtestwen,771191,2004,5
obshtestwen,771721,2004,6
obshtestwen,744427,2004,7
obshtestwen,740815,2004,8
obshtestwen,741965,2004,9
obshtestwen,740095,2004,10
obshtestwen,735838,2004,11
obshtestwen,720412,2004,12
obshtestwen,702953,2005,1
obshtestwen,709595,2005,2
obshtestwen,714843,2005,3
obshtestwen,713228,2005,4
obshtestwen,715097,2005,5
obshtestwen,715392,2005,6
obshtestwen,707946,2005,7
obshtestwen,706879,2005,8
obshtestwen,709831,2005,9
obshtestwen,702029,2005,10
obshtestwen,706014,2005,11
obshtestwen,692678,2005,12
obshtestwen,669581,2006,1
obshtestwen,675557,2006,2
obshtestwen,688728,2006,3
obshtestwen,688905,2006,4
obshtestwen,690840,2006,5
obshtestwen,688245,2006,6
obshtestwen,684677,2006,7
obshtestwen,680930,2006,8
obshtestwen,683018,2006,9
obshtestwen,678011,2006,10
obshtestwen,673034,2006,11
obshtestwen,660138,2006,12
obshtestwen,649065,2007,1
obshtestwen,652431,2007,2
obshtestwen,659208,2007,3
obshtestwen,660419,2007,4
obshtestwen,662122,2007,5
obshtestwen,662258,2007,6
obshtestwen,660051,2007,7
obshtestwen,659925,2007,8
obshtestwen,661101,2007,9
obshtestwen,655626,2007,10
obshtestwen,659276,2007,11
obshtestwen,648766,2007,12
obshtestwen,626557,2008,1
obshtestwen,628882,2008,2
obshtestwen,634594,2008,3
obshtestwen,629475,2008,4
obshtestwen,628838,2008,5
obshtestwen,627580,2008,6
obshtestwen,620565,2008,7
obshtestwen,617538,2008,8
obshtestwen,616784,2008,9
obshtestwen,616809,2008,10
obshtestwen,621162,2008,11
obshtestwen,615152,2008,12
obshtestwen,618425,2009,1
obshtestwen,623380,2009,2
obshtestwen,626379,2009,3
obshtestwen,627528,2009,4
obshtestwen,624428,2009,5
obshtestwen,619073,2009,6
obshtestwen,615160,2009,7
obshtestwen,609077,2009,8
obshtestwen,608779,2009,9
obshtestwen,611153,2009,10
obshtestwen,608157,2009,11
obshtestwen,600056,2009,12
obshtestwen,587435,2010,1
obshtestwen,587163,2010,2
obshtestwen,591290,2010,3
obshtestwen,587228,2010,4
obshtestwen,585624,2010,5
obshtestwen,581830,2010,6
obshtestwen,576138,2010,7
obshtestwen,574644,2010,8
obshtestwen,576251,2010,9
obshtestwen,580929,2010,10
obshtestwen,581843,2010,11
obshtestwen,577955,2010,12
obshtestwen,571360,2011,1
obshtestwen,573280,2011,2
obshtestwen,575621,2011,3
obshtestwen,570073,2011,4
obshtestwen,571820,2011,5
obshtestwen,571937,2011,6
obshtestwen,570719,2011,7
obshtestwen,569315,2011,8
obshtestwen,575859,2011,9
obshtestwen,581172,2011,10
obshtestwen,582255,2011,11
obshtestwen,574218,2011,12
obshtestwen,573058,2012,1
obshtestwen,571280,2012,2
obshtestwen,571676,2012,3
obshtestwen,565448,2012,4
obshtestwen,566600,2012,5
obshtestwen,564580,2012,6
obshtestwen,563450,2012,7
obshtestwen,566032,2012,8
obshtestwen,575170,2012,9
obshtestwen,576555,2012,10
obshtestwen,577630,2012,11
obshtestwen,577486,2012,12
obshtestwen,582477,2013,1
obshtestwen,584287,2013,2
obshtestwen,584798,2013,3
obshtestwen,584168,2013,4
obshtestwen,582547,2013,5
obshtestwen,579073,2013,6
obshtestwen,574067,2013,7
obshtestwen,572172,2013,8
obshtestwen,578709,2013,9
obshtestwen,576172,2013,10
obshtestwen,573864,2013,11
obshtestwen,568831,2013,12
obshtestwen,565329,2014,1
obshtestwen,565310,2014,2
obshtestwen,559174,2014,3
obshtestwen,553417,2014,4
obshtestwen,558262,2014,5
obshtestwen,560001,2014,6
obshtestwen,557750,2014,7
obshtestwen,553210,2014,8
obshtestwen,557367,2014,9
obshtestwen,554720,2014,10
obshtestwen,554518,2014,11
obshtestwen,553299,2014,12
chasten,995779,2000,1
chasten,994865,2000,2
chasten,997197,2000,3
chasten,1022003,2000,4
chasten,1038817,2000,5
chasten,1060562,2000,6
chasten,1091549,2000,7
chasten,1099218,2000,8
chasten,1094737,2000,9
chasten,1085521,2000,10
chasten,1057288,2000,11
chasten,1046380,2000,12
chasten,1064655,2001,1
chasten,1057919,2001,2
chasten,1064668,2001,3
chasten,1159142,2001,4
chasten,1175854,2001,5
chasten,1185083,2001,6
chasten,1189961,2001,7
chasten,1179330,2001,8
chasten,1174624,2001,9
chasten,1174826,2001,10
chasten,1144455,2001,11
chasten,1110148,2001,12
chasten,1142486,2002,1
chasten,1144895,2002,2
chasten,1150939,2002,3
chasten,1177965,2002,4
chasten,1187927,2002,5
chasten,1197615,2002,6
chasten,1231893,2002,7
chasten,1227403,2002,8
chasten,1223223,2002,9
chasten,1236031,2002,10
chasten,1230246,2002,11
chasten,1216138,2002,12
chasten,1230698,2003,1
chasten,1238434,2003,2
chasten,1247752,2003,3
chasten,1270881,2003,4
chasten,1283205,2003,5
chasten,1287871,2003,6
chasten,1357171,2003,7
chasten,1342071,2003,8
chasten,1327915,2003,9
