sektori,zaeti,swobodni,koef,year,month
administratiwni,98727,510,0.5,2008,1
administratiwni,97507,392,0.4,2008,2
administratiwni,100398,508,0.5,2008,3
administratiwni,99114,171,0.2,2008,4
administratiwni,119327,129,0.1,2009,1
administratiwni,116728,88,0.1,2009,2
administratiwni,109893,70,0.1,2009,3
administratiwni,111140,81,0.1,2009,4
administratiwni,107597,317,0.3,2010,1
administratiwni,105280,93,0.1,2010,2
administratiwni,105917,445,0.4,2010,3
administratiwni,115405,494,0.4,2010,4
administratiwni,118158,221,0.2,2011,1
administratiwni,118346,194,0.2,2011,2
administratiwni,118610,232,0.2,2011,3
administratiwni,118647,186,0.2,2011,4
administratiwni,119756,138,0.1,2012,1
administratiwni,121044,115,0.1,2012,2
administratiwni,127343,377,0.3,2012,3
administratiwni,127421,84,0.1,2012,4
administratiwni,132933,147,0.1,2013,1
administratiwni,132386,80,0.1,2013,2
administratiwni,129304,86,0.1,2013,3
administratiwni,121029,130,0.1,2013,4
administratiwni,112653,194,0.2,2014,1
administratiwni,117305,179,0.2,2014,2
administratiwni,111896,224,0.2,2014,3
administratiwni,111466,259,0.2,2014,4
dobiwna,27861,431,1.5,2008,1
dobiwna,27915,433,1.5,2008,2
dobiwna,27953,274,1,2008,3
dobiwna,27008,216,0.8,2008,4
dobiwna,26735,160,0.6,2009,1
dobiwna,26079,68,0.3,2009,2
dobiwna,25739,32,0.1,2009,3
dobiwna,25414,113,0.4,2009,4
dobiwna,25700,231,0.9,2010,1
dobiwna,25481,215,0.8,2010,2
dobiwna,25409,167,0.7,2010,3
dobiwna,25022,224,0.9,2010,4
dobiwna,25057,216,0.9,2011,1
dobiwna,25159,244,1,2011,2
dobiwna,25380,288,1.1,2011,3
dobiwna,24373,344,1.4,2011,4
dobiwna,24756,332,1.3,2012,1
dobiwna,24934,370,1.5,2012,2
dobiwna,24653,402,1.6,2012,3
dobiwna,24161,418,1.7,2012,4
dobiwna,24383,355,1.4,2013,1
dobiwna,24667,438,1.7,2013,2
dobiwna,24199,494,2,2013,3
dobiwna,23434,540,2.3,2013,4
dobiwna,23623,518,2.1,2014,1
dobiwna,24113,372,1.5,2014,2
dobiwna,24012,315,1.3,2014,3
dobiwna,23443,532,2.2,2014,4
drugi,30176,123,0.4,2008,1
drugi,32472,177,0.5,2008,2
drugi,31319,156,0.5,2008,3
drugi,31481,204,0.6,2008,4
drugi,32869,245,0.7,2009,1
drugi,34119,206,0.6,2009,2
drugi,32812,195,0.6,2009,3
drugi,33740,243,0.7,2009,4
drugi,37571,230,0.6,2010,1
drugi,39219,157,0.4,2010,2
drugi,36131,222,0.6,2010,3
drugi,34741,367,1,2010,4
drugi,36236,299,0.8,2011,1
drugi,36393,424,1.2,2011,2
drugi,35927,395,1.1,2011,3
drugi,35257,577,1.6,2011,4
drugi,36518,505,1.4,2012,1
drugi,37265,520,1.4,2012,2
drugi,36723,621,1.7,2012,3
drugi,36234,603,1.6,2012,4
drugi,35040,135,0.4,2013,1
drugi,35343,148,0.4,2013,2
drugi,34883,318,0.9,2013,3
drugi,33750,258,0.8,2013,4
drugi,33411,213,0.6,2014,1
drugi,35189,232,0.7,2014,2
drugi,33368,202,0.6,2014,3
drugi,31687,288,0.9,2014,4
dyrvawnouprawlenie,130748,5139,3.8,2008,1
dyrvawnouprawlenie,130894,4870,3.6,2008,2
dyrvawnouprawlenie,130688,4320,3.2,2008,3
dyrvawnouprawlenie,131878,4187,3.1,2008,4
dyrvawnouprawlenie,129443,4050,3,2009,1
dyrvawnouprawlenie,129824,3932,2.9,2009,2
dyrvawnouprawlenie,127352,3949,3,2009,3
dyrvawnouprawlenie,123126,3680,2.9,2009,4
dyrvawnouprawlenie,119248,3453,2.8,2010,1
dyrvawnouprawlenie,118473,3524,2.9,2010,2
dyrvawnouprawlenie,115125,3826,3.2,2010,3
dyrvawnouprawlenie,115126,3935,3.3,2010,4
dyrvawnouprawlenie,112045,3644,3.1,2011,1
dyrvawnouprawlenie,113487,3940,3.4,2011,2
dyrvawnouprawlenie,114288,3883,3.3,2011,3
dyrvawnouprawlenie,113317,4360,3.7,2011,4
dyrvawnouprawlenie,113490,4002,3.4,2012,1
dyrvawnouprawlenie,113695,4314,3.7,2012,2
dyrvawnouprawlenie,113571,3336,2.9,2012,3
dyrvawnouprawlenie,113418,3369,2.9,2012,4
dyrvawnouprawlenie,113380,2968,2.6,2013,1
dyrvawnouprawlenie,114046,2765,2.4,2013,2
dyrvawnouprawlenie,113739,2411,2.1,2013,3
dyrvawnouprawlenie,113668,2429,2.1,2013,4
dyrvawnouprawlenie,113324,2588,2.2,2014,1
dyrvawnouprawlenie,114793,2506,2.1,2014,2
dyrvawnouprawlenie,112548,2251,2,2014,3
dyrvawnouprawlenie,111512,2517,2.2,2014,4
energiq,34279,282,0.8,2008,1
energiq,33812,255,0.7,2008,2
energiq,32842,261,0.8,2008,3
energiq,32920,300,0.9,2008,4
energiq,33561,395,1.2,2009,1
energiq,33352,373,1.1,2009,2
energiq,33286,345,1,2009,3
energiq,33072,441,1.3,2009,4
energiq,32173,380,1.2,2010,1
energiq,31562,432,1.4,2010,2
energiq,31513,440,1.4,2010,3
energiq,31125,397,1.3,2010,4
energiq,31101,320,1,2011,1
energiq,31254,210,0.7,2011,2
energiq,31015,343,1.1,2011,3
energiq,30564,299,1,2011,4
energiq,31512,376,1.2,2012,1
energiq,31590,383,1.2,2012,2
energiq,31508,329,1,2012,3
energiq,31275,372,1.2,2012,4
energiq,30342,271,0.9,2013,1
energiq,30497,169,0.6,2013,2
energiq,30246,146,0.5,2013,3
