"unit","nace_r2","na_item","geo","time","values"
"PCH_PRE_HW","L","SAL_DC","BG",2014,NA
"PCH_PRE_HW","L","SELF_DC","BG",2014,NA
"PCH_PRE_HW","M","EMP_DC","BG",2014,NA
"PCH_PRE_HW","M","SAL_DC","BG",2014,NA
"PCH_PRE_HW","M","SELF_DC","BG",2014,NA
"PCH_PRE_HW","M69-M71","EMP_DC","BG",2014,NA
"PCH_PRE_HW","M69-M71","SAL_DC","BG",2014,NA
"PCH_PRE_HW","M69-M71","SELF_DC","BG",2014,NA
"PCH_PRE_HW","M72","EMP_DC","BG",2014,NA
"PCH_PRE_HW","M72","SAL_DC","BG",2014,NA
"PCH_PRE_HW","M72","SELF_DC","BG",2014,NA
"PCH_PRE_HW","M73-M75","EMP_DC","BG",2014,NA
"PCH_PRE_HW","M73-M75","SAL_DC","BG",2014,NA
"PCH_PRE_HW","M73-M75","SELF_DC","BG",2014,NA
"PCH_PRE_HW","M_N","EMP_DC","BG",2014,NA
"PCH_PRE_HW","M_N","SAL_DC","BG",2014,NA
"PCH_PRE_HW","M_N","SELF_DC","BG",2014,NA
"PCH_PRE_HW","O","EMP_DC","BG",2014,NA
"PCH_PRE_HW","O","SAL_DC","BG",2014,NA
"PCH_PRE_HW","O-Q","EMP_DC","BG",2014,NA
"PCH_PRE_HW","O-Q","SAL_DC","BG",2014,NA
"PCH_PRE_HW","O-Q","SELF_DC","BG",2014,NA
"PCH_PRE_HW","P","EMP_DC","BG",2014,NA
"PCH_PRE_HW","P","SAL_DC","BG",2014,NA
"PCH_PRE_HW","P","SELF_DC","BG",2014,NA
"PCH_PRE_HW","Q","EMP_DC","BG",2014,NA
"PCH_PRE_HW","Q","SAL_DC","BG",2014,NA
"PCH_PRE_HW","Q","SELF_DC","BG",2014,NA
"PCH_PRE_HW","Q86","EMP_DC","BG",2014,NA
"PCH_PRE_HW","Q86","SAL_DC","BG",2014,NA
"PCH_PRE_HW","Q86","SELF_DC","BG",2014,NA
"PCH_PRE_HW","Q87_Q88","EMP_DC","BG",2014,NA
"PCH_PRE_HW","Q87_Q88","SAL_DC","BG",2014,NA
"PCH_PRE_HW","Q87_Q88","SELF_DC","BG",2014,NA
"PCH_PRE_HW","R","EMP_DC","BG",2014,NA
"PCH_PRE_HW","R","SAL_DC","BG",2014,NA
"PCH_PRE_HW","R","SELF_DC","BG",2014,NA
"PCH_PRE_HW","R-U","EMP_DC","BG",2014,NA
"PCH_PRE_HW","R-U","SAL_DC","BG",2014,NA
"PCH_PRE_HW","R-U","SELF_DC","BG",2014,NA
"PCH_PRE_HW","S","EMP_DC","BG",2014,NA
"PCH_PRE_HW","S","SAL_DC","BG",2014,NA
"PCH_PRE_HW","S","SELF_DC","BG",2014,NA
"PCH_PRE_HW","TOTAL","EMP_DC","BG",2014,NA
"PCH_PRE_HW","TOTAL","SAL_DC","BG",2014,NA
"PCH_PRE_HW","TOTAL","SELF_DC","BG",2014,NA
"PCH_PRE_PER","A","EMP_DC","BG",2014,NA
"PCH_PRE_PER","A","SAL_DC","BG",2014,NA
"PCH_PRE_PER","A","SELF_DC","BG",2014,NA
"PCH_PRE_PER","A01","EMP_DC","BG",2014,NA
"PCH_PRE_PER","A01","SAL_DC","BG",2014,NA
"PCH_PRE_PER","A01","SELF_DC","BG",2014,NA
"PCH_PRE_PER","A02","EMP_DC","BG",2014,NA
"PCH_PRE_PER","A02","SAL_DC","BG",2014,NA
"PCH_PRE_PER","A02","SELF_DC","BG",2014,NA
"PCH_PRE_PER","A03","EMP_DC","BG",2014,NA
"PCH_PRE_PER","A03","SAL_DC","BG",2014,NA
"PCH_PRE_PER","A03","SELF_DC","BG",2014,NA
"PCH_PRE_PER","B","EMP_DC","BG",2014,NA
"PCH_PRE_PER","B","SAL_DC","BG",2014,NA
"PCH_PRE_PER","B","SELF_DC","BG",2014,NA
"PCH_PRE_PER","B-E","EMP_DC","BG",2014,NA
"PCH_PRE_PER","B-E","SAL_DC","BG",2014,NA
"PCH_PRE_PER","B-E","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C10-C12","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C10-C12","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C10-C12","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C13-C15","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C13-C15","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C13-C15","SELF_DC","BG",2014,NA
"PCH_PRE_PER","C16","EMP_DC","BG",2014,NA
"PCH_PRE_PER","C16","SAL_DC","BG",2014,NA
"PCH_PRE_PER","C16","SELF_DC","BG",2014,NA
