"sektori","kod","naeti","year","quarter"
"Производство на компютърна  техника, електронни и оптични продукти","C26",13821,2000,"Q2"
"Производство на електрически съоръжения","C27",17812,2000,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",42316,2000,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",3796,2000,"Q2"
"Производство на превозни средства, без автомобили","C30",3395,2000,"Q2"
"Производство на мебели","C31",15488,2000,"Q2"
"Производство, некласифицирано другаде ","C32",6962,2000,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",23298,2000,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39788,2000,"Q2"
"Събиране,пречистване и доставяне на води","Е36",19406,2000,"Q2"
"Продукти за междинно потребление","MIG_ING",193979,2000,"Q2"
"Енергийни продукти","MIG_NRG",94654,2000,"Q2"
"Инвестиционни продукти","MIG_CAG",112802,2000,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",22689,2000,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",256340,2000,"Q2"
"Строителство","F",101506,2000,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",14175,2000,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",85996,2000,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",93469,2000,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",81027,2000,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",34315,2000,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",59154,2000,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",46712,2000,"Q2"
"Транспорт, складиране и пощи - общо","H",131026,2000,"Q2"
"Сухопътен транспорт ","H49",78071,2000,"Q2"
"Воден транспорт","H50",6177,2000,"Q2"
"Въздушен транспорт","H51",4010,2000,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",25634,2000,"Q2"
"Пощенски и куриерски услуги","H53",17134,2000,"Q2"
"Хотелиерство и ресторантьорство","I",52134,2000,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",46545,2000,"Q2"
"Издателска дейност","J58",6788,2000,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1850,2000,"Q2"
"Радио- и телевизионна дейност","J60",3149,2000,"Q2"
"Далекосъобщения","J61",28792,2000,"Q2"
"Дейности в областта на информационните технологии","J62",4548,2000,"Q2"
"Информационни услуги","J63",1418,2000,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",27030,2000,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",34012,2000,"Q2"
"Добивна промишленост","B",37011,2000,"Q3"
"Добив на въглища","B05",20380,2000,"Q3"
"Добив на метални руди","B07",9242,2000,"Q3"
"Добив на неметални материали и суровини","B08",6118,2000,"Q3"
"Преработваща промишленост","C",560985,2000,"Q3"
"Производство на хранителни продукти ","C10",67484,2000,"Q3"
"Производство на напитки","C11",20627,2000,"Q3"
"Производство на тютюневи изделия ","C12",8123,2000,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",25295,2000,"Q3"
"Производство на облекло","C14",111216,2000,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19334,2000,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",13809,2000,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",13244,2000,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",4106,2000,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",10351,2000,"Q3"
"Производство на химични продукти","C20",23990,2000,"Q3"
"Производство на лекарствени вещества и продукти","C21",8931,2000,"Q3"
"Производство на изделия от каучук и пластмаси","C22",16215,2000,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",24815,2000,"Q3"
"Производство на основни метали","C24",30376,2000,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",41125,2000,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",13348,2000,"Q3"
"Производство на електрически съоръжения","C27",17295,2000,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",41546,2000,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",3744,2000,"Q3"
"Производство на превозни средства, без автомобили","C30",3697,2000,"Q3"
"Производство на мебели","C31",14573,2000,"Q3"
"Производство, некласифицирано другаде ","C32",5861,2000,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",21880,2000,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",41651,2000,"Q3"
"Събиране,пречистване и доставяне на води","Е36",19370,2000,"Q3"
"Продукти за междинно потребление","MIG_ING",188776,2000,"Q3"
"Енергийни продукти","MIG_NRG",92988,2000,"Q3"
"Инвестиционни продукти","MIG_CAG",107827,2000,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",21604,2000,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",247822,2000,"Q3"
"Строителство","F",101784,2000,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",14956,2000,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",90542,2000,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",111878,2000,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",99076,2000,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",39723,2000,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",72155,2000,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",59353,2000,"Q3"
"Транспорт, складиране и пощи - общо","H",129513,2000,"Q3"
"Сухопътен транспорт ","H49",76525,2000,"Q3"
"Воден транспорт","H50",6121,2000,"Q3"
"Въздушен транспорт","H51",3889,2000,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",25760,2000,"Q3"
"Пощенски и куриерски услуги","H53",17218,2000,"Q3"
"Хотелиерство и ресторантьорство","I",60932,2000,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",46029,2000,"Q3"
"Издателска дейност","J58",6391,2000,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",1895,2000,"Q3"
"Радио- и телевизионна дейност","J60",2973,2000,"Q3"
"Далекосъобщения","J61",28890,2000,"Q3"
"Дейности в областта на информационните технологии","J62",4466,2000,"Q3"
"Информационни услуги","J63",1414,2000,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",30908,2000,"Q3"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",34856,2000,"Q3"
"Добивна промишленост","B",36097,2000,"Q4"
"Добив на въглища","B05",20030,2000,"Q4"
"Добив на метални руди","B07",9094,2000,"Q4"
"Добив на неметални материали и суровини","B08",5793,2000,"Q4"
"Преработваща промишленост","C",546711,2000,"Q4"
"Производство на хранителни продукти ","C10",64631,2000,"Q4"
"Производство на напитки","C11",19802,2000,"Q4"
"Производство на тютюневи изделия ","C12",9489,2000,"Q4"
"Производство на текстил и изделия от текстил, без  облекло","C13",24924,2000,"Q4"
"Производство на облекло","C14",110074,2000,"Q4"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18691,2000,"Q4"
"Производство на дървен материал и изделия от него, без мебели","C16",13121,2000,"Q4"
"Производство на хартия, картон и изделия от хартия и картон","C17",12801,2000,"Q4"
"Печатна дейност и възпроизвеждане на записани носители","C18",3939,2000,"Q4"
"Производство на кокс и рафинирани нефтопродукти","C19",9982,2000,"Q4"
"Производство на химични продукти","C20",22976,2000,"Q4"
"Производство на лекарствени вещества и продукти","C21",9345,2000,"Q4"
"Производство на изделия от каучук и пластмаси","C22",16206,2000,"Q4"
"Производство на изделия от други неметални  минерални суровини","C23",23173,2000,"Q4"
"Производство на основни метали","C24",30029,2000,"Q4"
"Производство на метални изделия, без машини и оборудване ","C25",39230,2000,"Q4"
"Производство на компютърна  техника, електронни и оптични продукти","C26",12846,2000,"Q4"
"Производство на електрически съоръжения","C27",17022,2000,"Q4"
"Производство на машини и оборудване, с общо и специално предназначение","C28",40165,2000,"Q4"
"Производство на автомобили, ремаркета и полуремаркета","C29",3662,2000,"Q4"
"Производство на превозни средства, без автомобили","C30",3516,2000,"Q4"
"Производство на мебели","C31",14678,2000,"Q4"
"Производство, некласифицирано другаде ","C32",5690,2000,"Q4"
"Ремонт и инсталиране на машини и оборудване","C33",20719,2000,"Q4"
"Производство и разпределение на електрическа и топлоенергия и газ","D",41134,2000,"Q4"
"Събиране,пречистване и доставяне на води","Е36",19254,2000,"Q4"
"Продукти за междинно потребление","MIG_ING",182840,2000,"Q4"
"Енергийни продукти","MIG_NRG",91546,2000,"Q4"
"Инвестиционни продукти","MIG_CAG",103234,2000,"Q4"
"Потребителски дълготрайни продукти","MIG_DCOG",21028,2000,"Q4"
"Потребителски недълготрайни продукти","MIG_NDCOG",244548,2000,"Q4"
"Строителство","F",96132,2000,"Q4"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",14788,2000,"Q4"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",89087,2000,"Q4"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",109164,2000,"Q4"
