"sektori","kod","naeti","year","quarter"
"Добив на неметални материали и суровини","B08",5756,2003,"Q1"
"Преработваща промишленост","C",583562,2003,"Q1"
"Производство на хранителни продукти ","C10",72988,2003,"Q1"
"Производство на напитки","C11",16599,2003,"Q1"
"Производство на тютюневи изделия ","C12",12215,2003,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",22143,2003,"Q1"
"Производство на облекло","C14",143315,2003,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19449,2003,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",16580,2003,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",14780,2003,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",5014,2003,"Q1"
"Производство на кокс и рафинирани нефтопродукти","C19",8300,2003,"Q1"
"Производство на химични продукти","C20",16588,2003,"Q1"
"Производство на лекарствени вещества и продукти","C21",9741,2003,"Q1"
"Производство на изделия от каучук и пластмаси","C22",16586,2003,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",21491,2003,"Q1"
"Производство на основни метали","C24",23372,2003,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",44023,2003,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11792,2003,"Q1"
"Производство на електрически съоръжения","C27",17983,2003,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",39711,2003,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",4389,2003,"Q1"
"Производство на превозни средства, без автомобили","C30",4408,2003,"Q1"
"Производство на мебели","C31",17121,2003,"Q1"
"Производство, некласифицирано другаде ","C32",6377,2003,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",18597,2003,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",38891,2003,"Q1"
"Събиране,пречистване и доставяне на води","Е36",19617,2003,"Q1"
"Продукти за междинно потребление","MIG_ING",176631,2003,"Q1"
"Енергийни продукти","MIG_NRG",85881,2003,"Q1"
"Инвестиционни продукти","MIG_CAG",101829,2003,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",23811,2003,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",285990,2003,"Q1"
"Строителство","F",94981,2003,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",18558,2003,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",105211,2003,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",130111,2003,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",112893,2003,"Q1"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",44349,2003,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",85762,2003,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",68544,2003,"Q1"
"Транспорт, складиране и пощи - общо","H",129116,2003,"Q1"
"Сухопътен транспорт ","H49",70242,2003,"Q1"
"Воден транспорт","H50",6118,2003,"Q1"
"Въздушен транспорт","H51",1959,2003,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",33303,2003,"Q1"
"Пощенски и куриерски услуги","H53",17494,2003,"Q1"
"Хотелиерство и ресторантьорство","I",59762,2003,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",51867,2003,"Q1"
"Издателска дейност","J58",6921,2003,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2656,2003,"Q1"
"Радио- и телевизионна дейност","J60",4991,2003,"Q1"
"Далекосъобщения","J61",30280,2003,"Q1"
"Дейности в областта на информационните технологии","J62",5907,2003,"Q1"
"Информационни услуги","J63",1112,2003,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",34834,2003,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",36016,2003,"Q1"
"Добивна промишленост","B",31949,2003,"Q2"
"Добив на въглища","B05",17728,2003,"Q2"
"Добив на метални руди","B07",7059,2003,"Q2"
"Добив на неметални материали и суровини","B08",6034,2003,"Q2"
"Преработваща промишленост","C",582025,2003,"Q2"
"Производство на хранителни продукти ","C10",73729,2003,"Q2"
"Производство на напитки","C11",17402,2003,"Q2"
"Производство на тютюневи изделия ","C12",11837,2003,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",22471,2003,"Q2"
"Производство на облекло","C14",143552,2003,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19508,2003,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",16248,2003,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",13836,2003,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",5040,2003,"Q2"
"Производство на кокс и рафинирани нефтопродукти","C19",8014,2003,"Q2"
"Производство на химични продукти","C20",16729,2003,"Q2"
"Производство на лекарствени вещества и продукти","C21",8925,2003,"Q2"
"Производство на изделия от каучук и пластмаси","C22",16672,2003,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",22006,2003,"Q2"
"Производство на основни метали","C24",23305,2003,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",43448,2003,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11620,2003,"Q2"
"Производство на електрически съоръжения","C27",17701,2003,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",38372,2003,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",4183,2003,"Q2"
"Производство на превозни средства, без автомобили","C30",4524,2003,"Q2"
"Производство на мебели","C31",18332,2003,"Q2"
"Производство, некласифицирано другаде ","C32",6401,2003,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",18170,2003,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39113,2003,"Q2"
"Събиране,пречистване и доставяне на води","Е36",19533,2003,"Q2"
"Продукти за междинно потребление","MIG_ING",176602,2003,"Q2"
"Енергийни продукти","MIG_NRG",85431,2003,"Q2"
"Инвестиционни продукти","MIG_CAG",98271,2003,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",25600,2003,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",286716,2003,"Q2"
"Строителство","F",102939,2003,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",17688,2003,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",105173,2003,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",128217,2003,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",110704,2003,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",43297,2003,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",84920,2003,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",67407,2003,"Q2"
"Транспорт, складиране и пощи - общо","H",127302,2003,"Q2"
"Сухопътен транспорт ","H49",67196,2003,"Q2"
"Воден транспорт","H50",6414,2003,"Q2"
"Въздушен транспорт","H51",2052,2003,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",34066,2003,"Q2"
"Пощенски и куриерски услуги","H53",17574,2003,"Q2"
"Хотелиерство и ресторантьорство","I",86806,2003,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",52595,2003,"Q2"
"Издателска дейност","J58",7115,2003,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2605,2003,"Q2"
"Радио- и телевизионна дейност","J60",5039,2003,"Q2"
"Далекосъобщения","J61",30520,2003,"Q2"
"Дейности в областта на информационните технологии","J62",6177,2003,"Q2"
"Информационни услуги","J63",1139,2003,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",35010,2003,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",35820,2003,"Q2"
"Добивна промишленост","B",31397,2003,"Q3"
"Добив на въглища","B05",17371,2003,"Q3"
"Добив на метални руди","B07",6921,2003,"Q3"
"Добив на неметални материали и суровини","B08",6044,2003,"Q3"
"Преработваща промишленост","C",572492,2003,"Q3"
"Производство на хранителни продукти ","C10",77948,2003,"Q3"
"Производство на напитки","C11",17024,2003,"Q3"
"Производство на тютюневи изделия ","C12",8044,2003,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",21246,2003,"Q3"
"Производство на облекло","C14",141566,2003,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18482,2003,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",15896,2003,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",13473,2003,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",5022,2003,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",7985,2003,"Q3"
"Производство на химични продукти","C20",15771,2003,"Q3"
"Производство на лекарствени вещества и продукти","C21",8829,2003,"Q3"
"Производство на изделия от каучук и пластмаси","C22",16865,2003,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",21424,2003,"Q3"
"Производство на основни метали","C24",22932,2003,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",42192,2003,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11556,2003,"Q3"
"Производство на електрически съоръжения","C27",17553,2003,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",37874,2003,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",4135,2003,"Q3"
"Производство на превозни средства, без автомобили","C30",4275,2003,"Q3"
"Производство на мебели","C31",18150,2003,"Q3"
"Производство, некласифицирано другаде ","C32",6277,2003,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",17973,2003,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39153,2003,"Q3"
"Събиране,пречистване и доставяне на води","Е36",19426,2003,"Q3"
"Продукти за междинно потребление","MIG_ING",171964,2003,"Q3"
"Енергийни продукти","MIG_NRG",84902,2003,"Q3"
"Инвестиционни продукти","MIG_CAG",96876,2003,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",25431,2003,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",283295,2003,"Q3"
"Строителство","F",114368,2003,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",20627,2003,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",111523,2003,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",157370,2003,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",137561,2003,"Q3"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",51566,2003,"Q3"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",105804,2003,"Q3"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",85995,2003,"Q3"
"Транспорт, складиране и пощи - общо","H",128320,2003,"Q3"
"Сухопътен транспорт ","H49",68377,2003,"Q3"
"Воден транспорт","H50",6445,2003,"Q3"
"Въздушен транспорт","H51",2070,2003,"Q3"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",33645,2003,"Q3"
"Пощенски и куриерски услуги","H53",17783,2003,"Q3"
"Хотелиерство и ресторантьорство","I",80682,2003,"Q3"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",51789,2003,"Q3"
"Издателска дейност","J58",6827,2003,"Q3"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2504,2003,"Q3"
"Радио- и телевизионна дейност","J60",5045,2003,"Q3"
"Далекосъобщения","J61",30393,2003,"Q3"
"Дейности в областта на информационните технологии","J62",5865,2003,"Q3"
"Информационни услуги","J63",1155,2003,"Q3"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",38552,2003,"Q3"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",36205,2003,"Q3"
"Добивна промишленост","B",30745,2003,"Q4"
"Добив на въглища","B05",17094,2003,"Q4"
"Добив на метални руди","B07",6963,2003,"Q4"
"Добив на неметални материали и суровини","B08",5651,2003,"Q4"
"Преработваща промишленост","C",590329,2003,"Q4"
"Производство на хранителни продукти ","C10",77247,2003,"Q4"
"Производство на напитки","C11",16338,2003,"Q4"
"Производство на тютюневи изделия ","C12",8907,2003,"Q4"
"Производство на текстил и изделия от текстил, без  облекло","C13",22405,2003,"Q4"
"Производство на облекло","C14",152565,2003,"Q4"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",20492,2003,"Q4"
"Производство на дървен материал и изделия от него, без мебели","C16",15879,2003,"Q4"
"Производство на хартия, картон и изделия от хартия и картон","C17",13921,2003,"Q4"
"Печатна дейност и възпроизвеждане на записани носители","C18",5234,2003,"Q4"
"Производство на кокс и рафинирани нефтопродукти","C19",7690,2003,"Q4"
"Производство на химични продукти","C20",15484,2003,"Q4"
"Производство на лекарствени вещества и продукти","C21",8822,2003,"Q4"
"Производство на изделия от каучук и пластмаси","C22",18794,2003,"Q4"
"Производство на изделия от други неметални  минерални суровини","C23",21955,2003,"Q4"
"Производство на основни метали","C24",23284,2003,"Q4"
"Производство на метални изделия, без машини и оборудване ","C25",41746,2003,"Q4"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11273,2003,"Q4"
"Производство на електрически съоръжения","C27",17445,2003,"Q4"
"Производство на машини и оборудване, с общо и специално предназначение","C28",38388,2003,"Q4"
"Производство на автомобили, ремаркета и полуремаркета","C29",4027,2003,"Q4"
"Производство на превозни средства, без автомобили","C30",4341,2003,"Q4"
"Производство на мебели","C31",19078,2003,"Q4"
"Производство, некласифицирано другаде ","C32",6832,2003,"Q4"
"Ремонт и инсталиране на машини и оборудване","C33",18182,2003,"Q4"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39133,2003,"Q4"
"Събиране,пречистване и доставяне на води","Е36",19367,2003,"Q4"
"Продукти за междинно потребление","MIG_ING",175565,2003,"Q4"
"Енергийни продукти","MIG_NRG",84227,2003,"Q4"
"Инвестиционни продукти","MIG_CAG",96553,2003,"Q4"
"Потребителски дълготрайни продукти","MIG_DCOG",26354,2003,"Q4"
"Потребителски недълготрайни продукти","MIG_NDCOG",296875,2003,"Q4"
"Строителство","F",112767,2003,"Q4"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",20748,2003,"Q4"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",116476,2003,"Q4"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",156122,2003,"Q4"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",137134,2003,"Q4"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",51318,2003,"Q4"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",104804,2003,"Q4"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",85816,2003,"Q4"
"Транспорт, складиране и пощи - общо","H",126936,2003,"Q4"
"Сухопътен транспорт ","H49",67921,2003,"Q4"
"Воден транспорт","H50",6357,2003,"Q4"
"Въздушен транспорт","H51",2275,2003,"Q4"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",32650,2003,"Q4"
"Пощенски и куриерски услуги","H53",17733,2003,"Q4"
"Хотелиерство и ресторантьорство","I",69543,2003,"Q4"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",53399,2003,"Q4"
"Издателска дейност","J58",7102,2003,"Q4"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2495,2003,"Q4"
"Радио- и телевизионна дейност","J60",5247,2003,"Q4"
"Далекосъобщения","J61",30702,2003,"Q4"
"Дейности в областта на информационните технологии","J62",6693,2003,"Q4"
"Информационни услуги","J63",1160,2003,"Q4"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",38011,2003,"Q4"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",41792,2003,"Q4"
"Добивна промишленост","B",30759,2004,"Q1"
"Добив на въглища","B05",16712,2004,"Q1"
"Добив на метални руди","B07",7131,2004,"Q1"
"Добив на неметални материали и суровини","B08",5955,2004,"Q1"
"Преработваща промишленост","C",591725,2004,"Q1"
"Производство на хранителни продукти ","C10",75199,2004,"Q1"
"Производство на напитки","C11",17655,2004,"Q1"
"Производство на тютюневи изделия ","C12",9973,2004,"Q1"
"Производство на текстил и изделия от текстил, без  облекло","C13",23405,2004,"Q1"
"Производство на облекло","C14",153531,2004,"Q1"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19740,2004,"Q1"
"Производство на дървен материал и изделия от него, без мебели","C16",15982,2004,"Q1"
"Производство на хартия, картон и изделия от хартия и картон","C17",13794,2004,"Q1"
"Печатна дейност и възпроизвеждане на записани носители","C18",4599,2004,"Q1"
"Производство на кокс и рафинирани нефтопродукти","C19",7461,2004,"Q1"
"Производство на химични продукти","C20",15879,2004,"Q1"
"Производство на лекарствени вещества и продукти","C21",8352,2004,"Q1"
"Производство на изделия от каучук и пластмаси","C22",17575,2004,"Q1"
"Производство на изделия от други неметални  минерални суровини","C23",22266,2004,"Q1"
"Производство на основни метали","C24",22324,2004,"Q1"
"Производство на метални изделия, без машини и оборудване ","C25",42094,2004,"Q1"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11539,2004,"Q1"
"Производство на електрически съоръжения","C27",17798,2004,"Q1"
"Производство на машини и оборудване, с общо и специално предназначение","C28",38759,2004,"Q1"
"Производство на автомобили, ремаркета и полуремаркета","C29",4176,2004,"Q1"
"Производство на превозни средства, без автомобили","C30",4922,2004,"Q1"
"Производство на мебели","C31",19121,2004,"Q1"
"Производство, некласифицирано другаде ","C32",8035,2004,"Q1"
"Ремонт и инсталиране на машини и оборудване","C33",17546,2004,"Q1"
"Производство и разпределение на електрическа и топлоенергия и газ","D",38772,2004,"Q1"
"Събиране,пречистване и доставяне на води","Е36",19338,2004,"Q1"
"Продукти за междинно потребление","MIG_ING",176777,2004,"Q1"
"Енергийни продукти","MIG_NRG",83165,2004,"Q1"
"Инвестиционни продукти","MIG_CAG",97096,2004,"Q1"
"Потребителски дълготрайни продукти","MIG_DCOG",27122,2004,"Q1"
"Потребителски недълготрайни продукти","MIG_NDCOG",296434,2004,"Q1"
"Строителство","F",111143,2004,"Q1"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",20859,2004,"Q1"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",118389,2004,"Q1"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",154495,2004,"Q1"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",136567,2004,"Q1"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",44749,2004,"Q1"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",109746,2004,"Q1"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",91818,2004,"Q1"
"Транспорт, складиране и пощи - общо","H",126849,2004,"Q1"
"Сухопътен транспорт ","H49",68311,2004,"Q1"
"Воден транспорт","H50",6453,2004,"Q1"
"Въздушен транспорт","H51",1855,2004,"Q1"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",32491,2004,"Q1"
"Пощенски и куриерски услуги","H53",17739,2004,"Q1"
"Хотелиерство и ресторантьорство","I",70339,2004,"Q1"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",52529,2004,"Q1"
"Издателска дейност","J58",7430,2004,"Q1"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",3024,2004,"Q1"
"Радио- и телевизионна дейност","J60",4336,2004,"Q1"
"Далекосъобщения","J61",29930,2004,"Q1"
"Дейности в областта на информационните технологии","J62",6291,2004,"Q1"
"Информационни услуги","J63",1518,2004,"Q1"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",40034,2004,"Q1"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",39564,2004,"Q1"
"Добивна промишленост","B",30300,2004,"Q2"
"Добив на въглища","B05",16363,2004,"Q2"
"Добив на метални руди","B07",6975,2004,"Q2"
"Добив на неметални материали и суровини","B08",5990,2004,"Q2"
"Преработваща промишленост","C",590885,2004,"Q2"
"Производство на хранителни продукти ","C10",74587,2004,"Q2"
"Производство на напитки","C11",18702,2004,"Q2"
"Производство на тютюневи изделия ","C12",7886,2004,"Q2"
"Производство на текстил и изделия от текстил, без  облекло","C13",22853,2004,"Q2"
"Производство на облекло","C14",152769,2004,"Q2"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",19562,2004,"Q2"
"Производство на дървен материал и изделия от него, без мебели","C16",17176,2004,"Q2"
"Производство на хартия, картон и изделия от хартия и картон","C17",13522,2004,"Q2"
"Печатна дейност и възпроизвеждане на записани носители","C18",4687,2004,"Q2"
"Производство на кокс и рафинирани нефтопродукти","C19",6841,2004,"Q2"
"Производство на химични продукти","C20",15903,2004,"Q2"
"Производство на лекарствени вещества и продукти","C21",8131,2004,"Q2"
"Производство на изделия от каучук и пластмаси","C22",18360,2004,"Q2"
"Производство на изделия от други неметални  минерални суровини","C23",22974,2004,"Q2"
"Производство на основни метали","C24",22155,2004,"Q2"
"Производство на метални изделия, без машини и оборудване ","C25",42631,2004,"Q2"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11345,2004,"Q2"
"Производство на електрически съоръжения","C27",17693,2004,"Q2"
"Производство на машини и оборудване, с общо и специално предназначение","C28",38284,2004,"Q2"
"Производство на автомобили, ремаркета и полуремаркета","C29",4268,2004,"Q2"
"Производство на превозни средства, без автомобили","C30",4942,2004,"Q2"
"Производство на мебели","C31",19950,2004,"Q2"
"Производство, некласифицирано другаде ","C32",8048,2004,"Q2"
"Ремонт и инсталиране на машини и оборудване","C33",17616,2004,"Q2"
"Производство и разпределение на електрическа и топлоенергия и газ","D",39056,2004,"Q2"
"Събиране,пречистване и доставяне на води","Е36",19365,2004,"Q2"
"Продукти за междинно потребление","MIG_ING",178033,2004,"Q2"
"Енергийни продукти","MIG_NRG",82524,2004,"Q2"
"Инвестиционни продукти","MIG_CAG",96829,2004,"Q2"
"Потребителски дълготрайни продукти","MIG_DCOG",28193,2004,"Q2"
"Потребителски недълготрайни продукти","MIG_NDCOG",294027,2004,"Q2"
"Строителство","F",121697,2004,"Q2"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",23044,2004,"Q2"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",120877,2004,"Q2"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",158769,2004,"Q2"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",140339,2004,"Q2"
"Търговия на дребно с хранителни стоки, напитки и тютюневи изделия","G47_FOOD",45843,2004,"Q2"
"Търговия на дребно с нехранителни стоки","G47_NFOOD",112926,2004,"Q2"
"Търговия на дребно с нехранителни стоки, без търговията с автомобилни горива и смазочни материали","G47_NFOOD_X_G473",94496,2004,"Q2"
"Транспорт, складиране и пощи - общо","H",131076,2004,"Q2"
"Сухопътен транспорт ","H49",71991,2004,"Q2"
"Воден транспорт","H50",5686,2004,"Q2"
"Въздушен транспорт","H51",2126,2004,"Q2"
"Складиране и обработка на товари, спомагателни дейности в транспорта","H52",33198,2004,"Q2"
"Пощенски и куриерски услуги","H53",18075,2004,"Q2"
"Хотелиерство и ресторантьорство","I",82948,2004,"Q2"
"Създаване и разпространение на информация и творчески продукти; Далекосъобщения - общо","J",53258,2004,"Q2"
"Издателска дейност","J58",7453,2004,"Q2"
"Производство на филми и телевизионни предавания, звукозаписване и издаване на музика","J59",2743,2004,"Q2"
"Радио- и телевизионна дейност","J60",4357,2004,"Q2"
"Далекосъобщения","J61",30114,2004,"Q2"
"Дейности в областта на информационните технологии","J62",7077,2004,"Q2"
"Информационни услуги","J63",1514,2004,"Q2"
"Юридически; счетоводни; консултантски; архитектурни; инжинерни; рекламни и други професионални дейности","M69, M702, M71,M73, M74",40246,2004,"Q2"
"Дейности по наемане и предоставяне на работна сила,охрана,почистване,туристическа,административна офис и стопанска дейност","N78,N79,N80, N812,N82",41693,2004,"Q2"
"Добивна промишленост","B",30151,2004,"Q3"
"Добив на въглища","B05",16035,2004,"Q3"
"Добив на метални руди","B07",6955,2004,"Q3"
"Добив на неметални материали и суровини","B08",6166,2004,"Q3"
"Преработваща промишленост","C",597156,2004,"Q3"
"Производство на хранителни продукти ","C10",79251,2004,"Q3"
"Производство на напитки","C11",19136,2004,"Q3"
"Производство на тютюневи изделия ","C12",7368,2004,"Q3"
"Производство на текстил и изделия от текстил, без  облекло","C13",21829,2004,"Q3"
"Производство на облекло","C14",152572,2004,"Q3"
"Обработка на кожи; производство на изделия от обработени кожи без косъм ","C15",18151,2004,"Q3"
"Производство на дървен материал и изделия от него, без мебели","C16",18335,2004,"Q3"
"Производство на хартия, картон и изделия от хартия и картон","C17",13683,2004,"Q3"
"Печатна дейност и възпроизвеждане на записани носители","C18",5005,2004,"Q3"
"Производство на кокс и рафинирани нефтопродукти","C19",6740,2004,"Q3"
"Производство на химични продукти","C20",15241,2004,"Q3"
"Производство на лекарствени вещества и продукти","C21",8176,2004,"Q3"
"Производство на изделия от каучук и пластмаси","C22",18819,2004,"Q3"
"Производство на изделия от други неметални  минерални суровини","C23",23024,2004,"Q3"
"Производство на основни метали","C24",21757,2004,"Q3"
"Производство на метални изделия, без машини и оборудване ","C25",42965,2004,"Q3"
"Производство на компютърна  техника, електронни и оптични продукти","C26",11519,2004,"Q3"
"Производство на електрически съоръжения","C27",17785,2004,"Q3"
"Производство на машини и оборудване, с общо и специално предназначение","C28",38760,2004,"Q3"
"Производство на автомобили, ремаркета и полуремаркета","C29",4323,2004,"Q3"
"Производство на превозни средства, без автомобили","C30",4899,2004,"Q3"
"Производство на мебели","C31",21824,2004,"Q3"
"Производство, некласифицирано другаде ","C32",8135,2004,"Q3"
"Ремонт и инсталиране на машини и оборудване","C33",17859,2004,"Q3"
"Производство и разпределение на електрическа и топлоенергия и газ","D",38965,2004,"Q3"
"Събиране,пречистване и доставяне на води","Е36",19364,2004,"Q3"
"Продукти за междинно потребление","MIG_ING",178354,2004,"Q3"
"Енергийни продукти","MIG_NRG",82021,2004,"Q3"
"Инвестиционни продукти","MIG_CAG",98593,2004,"Q3"
"Потребителски дълготрайни продукти","MIG_DCOG",29809,2004,"Q3"
"Потребителски недълготрайни продукти","MIG_NDCOG",296859,2004,"Q3"
"Строителство","F",130871,2004,"Q3"
"Търговия на едро и дребно с автомобили и мотоциклети, техническо обслужване и ремонт","G45",22972,2004,"Q3"
"Търговия на едро, без търговията с автомобили и мотоциклети","G46",122525,2004,"Q3"
"Търговия на дребно, без търговията с автомобили и мотоциклети","G47",166327,2004,"Q3"
"Търговия на дребно, без търговията с автомобилни горива и смазочни материали","G47_X_G473",148191,2004,"Q3"
