"unit","wstatus","nace_r2","geo","time","values"
"PC","EMP","F","BG4",2013,NA
"PC","EMP","F","BG41",2013,NA
"PC","EMP","F","BG411",2013,NA
"PC","EMP","F","BG412",2013,NA
"PC","EMP","F","BG413",2013,NA
"PC","EMP","F","BG414",2013,NA
"PC","EMP","F","BG415",2013,NA
"PC","EMP","F","BG42",2013,NA
"PC","EMP","F","BG421",2013,NA
"PC","EMP","F","BG422",2013,NA
"PC","EMP","F","BG423",2013,NA
"PC","EMP","F","BG424",2013,NA
"PC","EMP","F","BG425",2013,NA
"PC","EMP","G-I","BG",2013,NA
"PC","EMP","G-I","BG3",2013,NA
"PC","EMP","G-I","BG31",2013,NA
"PC","EMP","G-I","BG311",2013,NA
"PC","EMP","G-I","BG312",2013,NA
"PC","EMP","G-I","BG313",2013,NA
"PC","EMP","G-I","BG314",2013,NA
"PC","EMP","G-I","BG315",2013,NA
"PC","EMP","G-I","BG32",2013,NA
"PC","EMP","G-I","BG321",2013,NA
"PC","EMP","G-I","BG322",2013,NA
"PC","EMP","G-I","BG323",2013,NA
"PC","EMP","G-I","BG324",2013,NA
"PC","EMP","G-I","BG325",2013,NA
"PC","EMP","G-I","BG33",2013,NA
"PC","EMP","G-I","BG331",2013,NA
"PC","EMP","G-I","BG332",2013,NA
"PC","EMP","G-I","BG333",2013,NA
"PC","EMP","G-I","BG334",2013,NA
"PC","EMP","G-I","BG34",2013,NA
"PC","EMP","G-I","BG341",2013,NA
"PC","EMP","G-I","BG342",2013,NA
"PC","EMP","G-I","BG343",2013,NA
"PC","EMP","G-I","BG344",2013,NA
"PC","EMP","G-I","BG4",2013,NA
"PC","EMP","G-I","BG41",2013,NA
"PC","EMP","G-I","BG411",2013,NA
"PC","EMP","G-I","BG412",2013,NA
"PC","EMP","G-I","BG413",2013,NA
"PC","EMP","G-I","BG414",2013,NA
"PC","EMP","G-I","BG415",2013,NA
"PC","EMP","G-I","BG42",2013,NA
"PC","EMP","G-I","BG421",2013,NA
"PC","EMP","G-I","BG422",2013,NA
"PC","EMP","G-I","BG423",2013,NA
"PC","EMP","G-I","BG424",2013,NA
"PC","EMP","G-I","BG425",2013,NA
"PC","EMP","G-J","BG",2013,NA
"PC","EMP","G-J","BG3",2013,NA
"PC","EMP","G-J","BG31",2013,NA
"PC","EMP","G-J","BG311",2013,NA
"PC","EMP","G-J","BG312",2013,NA
"PC","EMP","G-J","BG313",2013,NA
"PC","EMP","G-J","BG314",2013,NA
"PC","EMP","G-J","BG315",2013,NA
"PC","EMP","G-J","BG32",2013,NA
"PC","EMP","G-J","BG321",2013,NA
"PC","EMP","G-J","BG322",2013,NA
"PC","EMP","G-J","BG323",2013,NA
"PC","EMP","G-J","BG324",2013,NA
"PC","EMP","G-J","BG325",2013,NA
"PC","EMP","G-J","BG33",2013,NA
"PC","EMP","G-J","BG331",2013,NA
"PC","EMP","G-J","BG332",2013,NA
"PC","EMP","G-J","BG333",2013,NA
"PC","EMP","G-J","BG334",2013,NA
"PC","EMP","G-J","BG34",2013,NA
"PC","EMP","G-J","BG341",2013,NA
"PC","EMP","G-J","BG342",2013,NA
"PC","EMP","G-J","BG343",2013,NA
"PC","EMP","G-J","BG344",2013,NA
"PC","EMP","G-J","BG4",2013,NA
"PC","EMP","G-J","BG41",2013,NA
"PC","EMP","G-J","BG411",2013,NA
"PC","EMP","G-J","BG412",2013,NA
"PC","EMP","G-J","BG413",2013,NA
"PC","EMP","G-J","BG414",2013,NA
"PC","EMP","G-J","BG415",2013,NA
"PC","EMP","G-J","BG42",2013,NA
"PC","EMP","G-J","BG421",2013,NA
"PC","EMP","G-J","BG422",2013,NA
"PC","EMP","G-J","BG423",2013,NA
"PC","EMP","G-J","BG424",2013,NA
"PC","EMP","G-J","BG425",2013,NA
"PC","EMP","J","BG",2013,NA
"PC","EMP","J","BG3",2013,NA
"PC","EMP","J","BG31",2013,NA
"PC","EMP","J","BG311",2013,NA
"PC","EMP","J","BG312",2013,NA
"PC","EMP","J","BG313",2013,NA
"PC","EMP","J","BG314",2013,NA
"PC","EMP","J","BG315",2013,NA
"PC","EMP","J","BG32",2013,NA
"PC","EMP","J","BG321",2013,NA
"PC","EMP","J","BG322",2013,NA
"PC","EMP","J","BG323",2013,NA
"PC","EMP","J","BG324",2013,NA
"PC","EMP","J","BG325",2013,NA
"PC","EMP","J","BG33",2013,NA
"PC","EMP","J","BG331",2013,NA
"PC","EMP","J","BG332",2013,NA
"PC","EMP","J","BG333",2013,NA
"PC","EMP","J","BG334",2013,NA
"PC","EMP","J","BG34",2013,NA
"PC","EMP","J","BG341",2013,NA
"PC","EMP","J","BG342",2013,NA
"PC","EMP","J","BG343",2013,NA
"PC","EMP","J","BG344",2013,NA
"PC","EMP","J","BG4",2013,NA
"PC","EMP","J","BG41",2013,NA
"PC","EMP","J","BG411",2013,NA
"PC","EMP","J","BG412",2013,NA
"PC","EMP","J","BG413",2013,NA
"PC","EMP","J","BG414",2013,NA
"PC","EMP","J","BG415",2013,NA
"PC","EMP","J","BG42",2013,NA
"PC","EMP","J","BG421",2013,NA
"PC","EMP","J","BG422",2013,NA
"PC","EMP","J","BG423",2013,NA
"PC","EMP","J","BG424",2013,NA
"PC","EMP","J","BG425",2013,NA
"PC","EMP","K","BG",2013,NA
"PC","EMP","K","BG3",2013,NA
"PC","EMP","K","BG31",2013,NA
"PC","EMP","K","BG311",2013,NA
"PC","EMP","K","BG312",2013,NA
"PC","EMP","K","BG313",2013,NA
