"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","10-49","C25","D111","BG",2012,1.86
"EUR","P_SAL_H","10-49","C25","D1111","BG",2012,1.71
"EUR","P_SAL_H","10-49","C26","D01","BG",2012,3.27
"EUR","P_SAL_H","10-49","C26","D111","BG",2012,2.79
"EUR","P_SAL_H","10-49","C26","D1111","BG",2012,2.57
"EUR","P_SAL_H","10-49","C27","D01","BG",2012,3.18
"EUR","P_SAL_H","10-49","C27","D111","BG",2012,2.76
"EUR","P_SAL_H","10-49","C27","D1111","BG",2012,2.57
"EUR","P_SAL_H","10-49","C28","D01","BG",2012,2.47
"EUR","P_SAL_H","10-49","C28","D111","BG",2012,2.08
"EUR","P_SAL_H","10-49","C28","D1111","BG",2012,1.91
"EUR","P_SAL_H","10-49","C29","D01","BG",2012,3.04
"EUR","P_SAL_H","10-49","C29","D111","BG",2012,2.57
"EUR","P_SAL_H","10-49","C29","D1111","BG",2012,2.37
"EUR","P_SAL_H","10-49","C30","D01","BG",2012,2.36
"EUR","P_SAL_H","10-49","C30","D111","BG",2012,1.98
"EUR","P_SAL_H","10-49","C30","D1111","BG",2012,1.86
"EUR","P_SAL_H","10-49","C31","D01","BG",2012,1.48
"EUR","P_SAL_H","10-49","C31","D111","BG",2012,1.24
"EUR","P_SAL_H","10-49","C31","D1111","BG",2012,1.14
"EUR","P_SAL_H","10-49","C32","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","C32","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","C32","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","C33","D01","BG",2012,2.98
"EUR","P_SAL_H","10-49","C33","D111","BG",2012,2.51
"EUR","P_SAL_H","10-49","C33","D1111","BG",2012,2.33
"EUR","P_SAL_H","10-49","D","D01","BG",2012,5.81
"EUR","P_SAL_H","10-49","D","D111","BG",2012,5.1
"EUR","P_SAL_H","10-49","D","D1111","BG",2012,4.58
"EUR","P_SAL_H","10-49","D35","D01","BG",2012,5.81
"EUR","P_SAL_H","10-49","D35","D111","BG",2012,5.1
"EUR","P_SAL_H","10-49","D35","D1111","BG",2012,4.58
"EUR","P_SAL_H","10-49","E","D01","BG",2012,2.27
"EUR","P_SAL_H","10-49","E","D111","BG",2012,1.92
"EUR","P_SAL_H","10-49","E","D1111","BG",2012,1.75
"EUR","P_SAL_H","10-49","E36","D01","BG",2012,2.47
"EUR","P_SAL_H","10-49","E36","D111","BG",2012,2.05
"EUR","P_SAL_H","10-49","E36","D1111","BG",2012,1.7
"EUR","P_SAL_H","10-49","E37","D01","BG",2012,2.35
"EUR","P_SAL_H","10-49","E37","D111","BG",2012,1.97
"EUR","P_SAL_H","10-49","E37","D1111","BG",2012,1.81
"EUR","P_SAL_H","10-49","E38","D01","BG",2012,2.14
"EUR","P_SAL_H","10-49","E38","D111","BG",2012,1.8
"EUR","P_SAL_H","10-49","E38","D1111","BG",2012,1.66
"EUR","P_SAL_H","10-49","E39","D01","BG",2012,3.72
"EUR","P_SAL_H","10-49","E39","D111","BG",2012,3.24
"EUR","P_SAL_H","10-49","E39","D1111","BG",2012,2.99
"EUR","P_SAL_H","10-49","F","D01","BG",2012,2.43
"EUR","P_SAL_H","10-49","F","D111","BG",2012,2.06
"EUR","P_SAL_H","10-49","F","D1111","BG",2012,1.92
"EUR","P_SAL_H","10-49","F41","D01","BG",2012,2.15
"EUR","P_SAL_H","10-49","F41","D111","BG",2012,1.81
"EUR","P_SAL_H","10-49","F41","D1111","BG",2012,1.68
"EUR","P_SAL_H","10-49","F42","D01","BG",2012,3.03
"EUR","P_SAL_H","10-49","F42","D111","BG",2012,2.59
"EUR","P_SAL_H","10-49","F42","D1111","BG",2012,2.43
"EUR","P_SAL_H","10-49","F43","D01","BG",2012,2.5
"EUR","P_SAL_H","10-49","F43","D111","BG",2012,2.12
"EUR","P_SAL_H","10-49","F43","D1111","BG",2012,1.97
"EUR","P_SAL_H","10-49","G","D01","BG",2012,2.61
"EUR","P_SAL_H","10-49","G","D111","BG",2012,2.23
"EUR","P_SAL_H","10-49","G","D1111","BG",2012,2.07
"EUR","P_SAL_H","10-49","G-J","D01","BG",2012,2.65
"EUR","P_SAL_H","10-49","G-J","D111","BG",2012,2.26
"EUR","P_SAL_H","10-49","G-J","D1111","BG",2012,2.1
"EUR","P_SAL_H","10-49","G-N","D01","BG",2012,2.89
"EUR","P_SAL_H","10-49","G-N","D111","BG",2012,2.48
"EUR","P_SAL_H","10-49","G-N","D1111","BG",2012,2.31
"EUR","P_SAL_H","10-49","G-S_X_O","D01","BG",2012,2.86
"EUR","P_SAL_H","10-49","G-S_X_O","D111","BG",2012,2.43
"EUR","P_SAL_H","10-49","G-S_X_O","D1111","BG",2012,2.2
"EUR","P_SAL_H","10-49","G45","D01","BG",2012,2.76
"EUR","P_SAL_H","10-49","G45","D111","BG",2012,2.34
"EUR","P_SAL_H","10-49","G45","D1111","BG",2012,2.17
"EUR","P_SAL_H","10-49","G46","D01","BG",2012,3.24
"EUR","P_SAL_H","10-49","G46","D111","BG",2012,2.8
"EUR","P_SAL_H","10-49","G46","D1111","BG",2012,2.6
"EUR","P_SAL_H","10-49","G47","D01","BG",2012,1.97
"EUR","P_SAL_H","10-49","G47","D111","BG",2012,1.65
"EUR","P_SAL_H","10-49","G47","D1111","BG",2012,1.53
"EUR","P_SAL_H","10-49","H","D01","BG",2012,2.31
"EUR","P_SAL_H","10-49","H","D111","BG",2012,1.9
"EUR","P_SAL_H","10-49","H","D1111","BG",2012,1.77
"EUR","P_SAL_H","10-49","H49","D01","BG",2012,1.92
"EUR","P_SAL_H","10-49","H49","D111","BG",2012,1.55
"EUR","P_SAL_H","10-49","H49","D1111","BG",2012,1.45
"EUR","P_SAL_H","10-49","H50","D01","BG",2012,3.65
"EUR","P_SAL_H","10-49","H50","D111","BG",2012,3.16
"EUR","P_SAL_H","10-49","H50","D1111","BG",2012,3.03
"EUR","P_SAL_H","10-49","H51","D01","BG",2012,7.07
"EUR","P_SAL_H","10-49","H51","D111","BG",2012,5.86
"EUR","P_SAL_H","10-49","H51","D1111","BG",2012,5.34
"EUR","P_SAL_H","10-49","H52","D01","BG",2012,4.36
"EUR","P_SAL_H","10-49","H52","D111","BG",2012,3.75
"EUR","P_SAL_H","10-49","H52","D1111","BG",2012,3.48
"EUR","P_SAL_H","10-49","H53","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","H53","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","H53","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","I","D01","BG",2012,1.83
"EUR","P_SAL_H","10-49","I","D111","BG",2012,1.53
"EUR","P_SAL_H","10-49","I","D1111","BG",2012,1.44
"EUR","P_SAL_H","10-49","I55","D01","BG",2012,2.15
"EUR","P_SAL_H","10-49","I55","D111","BG",2012,1.79
"EUR","P_SAL_H","10-49","I55","D1111","BG",2012,1.68
"EUR","P_SAL_H","10-49","I56","D01","BG",2012,1.69
"EUR","P_SAL_H","10-49","I56","D111","BG",2012,1.41
"EUR","P_SAL_H","10-49","I56","D1111","BG",2012,1.33
"EUR","P_SAL_H","10-49","J","D01","BG",2012,5.91
"EUR","P_SAL_H","10-49","J","D111","BG",2012,5.22
"EUR","P_SAL_H","10-49","J","D1111","BG",2012,4.85
"EUR","P_SAL_H","10-49","J58","D01","BG",2012,3.46
"EUR","P_SAL_H","10-49","J58","D111","BG",2012,2.99
"EUR","P_SAL_H","10-49","J58","D1111","BG",2012,2.77
"EUR","P_SAL_H","10-49","J59","D01","BG",2012,6.4
"EUR","P_SAL_H","10-49","J59","D111","BG",2012,5.69
"EUR","P_SAL_H","10-49","J59","D1111","BG",2012,5.33
"EUR","P_SAL_H","10-49","J60","D01","BG",2012,3.92
"EUR","P_SAL_H","10-49","J60","D111","BG",2012,3.34
"EUR","P_SAL_H","10-49","J60","D1111","BG",2012,3.1
