sektori,naeti,year,month
drugi,73434,2001,1
obshto,1853911,2001,2
selsko,64270,2001,2
dobiwna,35743,2001,2
prerabodwashta,545939,2001,2
energiq i woda,61283,2001,2
stroitelstwo,90679,2001,2
tyrgowiq,214306,2001,2
hoteli,51051,2001,2
transport,163278,2001,2
finansi,26882,2001,2
imoti,92956,2001,2
dyrvawnouprawlenie,95686,2001,2
obrazowanie,205616,2001,2
zdraweopazwane,132730,2001,2
drugi,73492,2001,2
obshto,1859421,2001,3
selsko,70906,2001,3
dobiwna,35765,2001,3
prerabodwashta,546525,2001,3
energiq i woda,61326,2001,3
stroitelstwo,91168,2001,3
tyrgowiq,213703,2001,3
hoteli,51159,2001,3
transport,162962,2001,3
finansi,26951,2001,3
imoti,92617,2001,3
dyrvawnouprawlenie,96058,2001,3
obrazowanie,206013,2001,3
zdraweopazwane,132638,2001,3
drugi,71630,2001,3
obshto,1936101,2001,4
selsko,86850,2001,4
dobiwna,35795,2001,4
prerabodwashta,584568,2001,4
energiq i woda,61143,2001,4
stroitelstwo,100971,2001,4
tyrgowiq,224468,2001,4
hoteli,53157,2001,4
transport,166754,2001,4
finansi,27889,2001,4
imoti,99681,2001,4
dyrvawnouprawlenie,94107,2001,4
obrazowanie,205637,2001,4
zdraweopazwane,133183,2001,4
drugi,61898,2001,4
obshto,1951598,2001,5
selsko,92479,2001,5
dobiwna,35793,2001,5
prerabodwashta,583061,2001,5
energiq i woda,61129,2001,5
stroitelstwo,102857,2001,5
tyrgowiq,225168,2001,5
hoteli,62570,2001,5
transport,166406,2001,5
finansi,28107,2001,5
imoti,100093,2001,5
dyrvawnouprawlenie,94318,2001,5
obrazowanie,205306,2001,5
zdraweopazwane,133497,2001,5
drugi,60814,2001,5
obshto,1957874,2001,6
selsko,98940,2001,6
dobiwna,35871,2001,6
prerabodwashta,580707,2001,6
energiq i woda,60999,2001,6
stroitelstwo,102380,2001,6
tyrgowiq,224805,2001,6
hoteli,68179,2001,6
transport,166275,2001,6
finansi,28018,2001,6
imoti,99883,2001,6
dyrvawnouprawlenie,94796,2001,6
obrazowanie,203196,2001,6
zdraweopazwane,133420,2001,6
drugi,60405,2001,6
obshto,1956898,2001,7
selsko,99645,2001,7
dobiwna,35803,2001,7
prerabodwashta,575627,2001,7
energiq i woda,59430,2001,7
stroitelstwo,102120,2001,7
tyrgowiq,227319,2001,7
hoteli,74725,2001,7
transport,166302,2001,7
finansi,28027,2001,7
imoti,99822,2001,7
dyrvawnouprawlenie,96067,2001,7
obrazowanie,199397,2001,7
zdraweopazwane,133394,2001,7
drugi,59220,2001,7
obshto,1940798,2001,8
selsko,96914,2001,8
dobiwna,35731,2001,8
prerabodwashta,569154,2001,8
energiq i woda,58551,2001,8
stroitelstwo,101400,2001,8
tyrgowiq,228689,2001,8
hoteli,72779,2001,8
transport,166081,2001,8
finansi,28045,2001,8
imoti,98951,2001,8
dyrvawnouprawlenie,95970,2001,8
obrazowanie,196629,2001,8
zdraweopazwane,133617,2001,8
drugi,58287,2001,8
obshto,1937798,2001,9
selsko,99561,2001,9
dobiwna,35457,2001,9
prerabodwashta,564211,2001,9
energiq i woda,58481,2001,9
stroitelstwo,100337,2001,9
tyrgowiq,231045,2001,9
hoteli,68205,2001,9
transport,165138,2001,9
finansi,27913,2001,9
imoti,99258,2001,9
dyrvawnouprawlenie,95623,2001,9
obrazowanie,201154,2001,9
zdraweopazwane,133611,2001,9
drugi,57804,2001,9
obshto,1937008,2001,10
selsko,89900,2001,10
dobiwna,35258,2001,10
prerabodwashta,572177,2001,10
energiq i woda,58648,2001,10
stroitelstwo,101081,2001,10
tyrgowiq,231939,2001,10
hoteli,63289,2001,10
transport,164607,2001,10
finansi,27879,2001,10
imoti,100965,2001,10
dyrvawnouprawlenie,95327,2001,10
obrazowanie,203962,2001,10
zdraweopazwane,133871,2001,10
drugi,58105,2001,10
obshto,1909720,2001,11
selsko,74595,2001,11
dobiwna,34813,2001,11
prerabodwashta,567371,2001,11
energiq i woda,58582,2001,11
stroitelstwo,98649,2001,11
tyrgowiq,230751,2001,11
hoteli,56516,2001,11
transport,163542,2001,11
finansi,27763,2001,11
imoti,101384,2001,11
dyrvawnouprawlenie,95792,2001,11
obrazowanie,204659,2001,11
zdraweopazwane,133522,2001,11
drugi,61781,2001,11
obshto,1874537,2001,12
selsko,61987,2001,12
dobiwna,34140,2001,12
prerabodwashta,559843,2001,12
energiq i woda,58422,2001,12
stroitelstwo,93219,2001,12
tyrgowiq,226950,2001,12
hoteli,52253,2001,12
transport,162117,2001,12
