"currency","nace_r2","geo","time","values"
"MIO_EUR","F","BG334",2013,NA
"MIO_EUR","F","BG34",2013,NA
"MIO_EUR","F","BG341",2013,NA
"MIO_EUR","F","BG342",2013,NA
"MIO_EUR","F","BG343",2013,NA
"MIO_EUR","F","BG344",2013,NA
"MIO_EUR","F","BG4",2013,NA
"MIO_EUR","F","BG41",2013,NA
"MIO_EUR","F","BG411",2013,NA
"MIO_EUR","F","BG412",2013,NA
"MIO_EUR","F","BG413",2013,NA
"MIO_EUR","F","BG414",2013,NA
"MIO_EUR","F","BG415",2013,NA
"MIO_EUR","F","BG42",2013,NA
"MIO_EUR","F","BG421",2013,NA
"MIO_EUR","F","BG422",2013,NA
"MIO_EUR","F","BG423",2013,NA
"MIO_EUR","F","BG424",2013,NA
"MIO_EUR","F","BG425",2013,NA
"MIO_EUR","G-I","BG",2013,NA
"MIO_EUR","G-I","BG3",2013,NA
"MIO_EUR","G-I","BG31",2013,NA
"MIO_EUR","G-I","BG311",2013,NA
"MIO_EUR","G-I","BG312",2013,NA
"MIO_EUR","G-I","BG313",2013,NA
"MIO_EUR","G-I","BG314",2013,NA
"MIO_EUR","G-I","BG315",2013,NA
"MIO_EUR","G-I","BG32",2013,NA
"MIO_EUR","G-I","BG321",2013,NA
"MIO_EUR","G-I","BG322",2013,NA
"MIO_EUR","G-I","BG323",2013,NA
"MIO_EUR","G-I","BG324",2013,NA
"MIO_EUR","G-I","BG325",2013,NA
"MIO_EUR","G-I","BG33",2013,NA
"MIO_EUR","G-I","BG331",2013,NA
"MIO_EUR","G-I","BG332",2013,NA
"MIO_EUR","G-I","BG333",2013,NA
"MIO_EUR","G-I","BG334",2013,NA
"MIO_EUR","G-I","BG34",2013,NA
"MIO_EUR","G-I","BG341",2013,NA
"MIO_EUR","G-I","BG342",2013,NA
"MIO_EUR","G-I","BG343",2013,NA
"MIO_EUR","G-I","BG344",2013,NA
"MIO_EUR","G-I","BG4",2013,NA
"MIO_EUR","G-I","BG41",2013,NA
"MIO_EUR","G-I","BG411",2013,NA
"MIO_EUR","G-I","BG412",2013,NA
"MIO_EUR","G-I","BG413",2013,NA
"MIO_EUR","G-I","BG414",2013,NA
"MIO_EUR","G-I","BG415",2013,NA
"MIO_EUR","G-I","BG42",2013,NA
"MIO_EUR","G-I","BG421",2013,NA
"MIO_EUR","G-I","BG422",2013,NA
"MIO_EUR","G-I","BG423",2013,NA
"MIO_EUR","G-I","BG424",2013,NA
"MIO_EUR","G-I","BG425",2013,NA
"MIO_EUR","G-J","BG",2013,NA
"MIO_EUR","G-J","BG3",2013,NA
"MIO_EUR","G-J","BG31",2013,NA
"MIO_EUR","G-J","BG311",2013,NA
"MIO_EUR","G-J","BG312",2013,NA
"MIO_EUR","G-J","BG313",2013,NA
"MIO_EUR","G-J","BG314",2013,NA
"MIO_EUR","G-J","BG315",2013,NA
"MIO_EUR","G-J","BG32",2013,NA
"MIO_EUR","G-J","BG321",2013,NA
"MIO_EUR","G-J","BG322",2013,NA
"MIO_EUR","G-J","BG323",2013,NA
"MIO_EUR","G-J","BG324",2013,NA
"MIO_EUR","G-J","BG325",2013,NA
"MIO_EUR","G-J","BG33",2013,NA
"MIO_EUR","G-J","BG331",2013,NA
"MIO_EUR","G-J","BG332",2013,NA
"MIO_EUR","G-J","BG333",2013,NA
"MIO_EUR","G-J","BG334",2013,NA
"MIO_EUR","G-J","BG34",2013,NA
"MIO_EUR","G-J","BG341",2013,NA
"MIO_EUR","G-J","BG342",2013,NA
"MIO_EUR","G-J","BG343",2013,NA
"MIO_EUR","G-J","BG344",2013,NA
"MIO_EUR","G-J","BG4",2013,NA
"MIO_EUR","G-J","BG41",2013,NA
"MIO_EUR","G-J","BG411",2013,NA
"MIO_EUR","G-J","BG412",2013,NA
"MIO_EUR","G-J","BG413",2013,NA
"MIO_EUR","G-J","BG414",2013,NA
"MIO_EUR","G-J","BG415",2013,NA
"MIO_EUR","G-J","BG42",2013,NA
"MIO_EUR","G-J","BG421",2013,NA
"MIO_EUR","G-J","BG422",2013,NA
"MIO_EUR","G-J","BG423",2013,NA
"MIO_EUR","G-J","BG424",2013,NA
"MIO_EUR","G-J","BG425",2013,NA
"MIO_EUR","J","BG",2013,NA
"MIO_EUR","J","BG3",2013,NA
"MIO_EUR","J","BG31",2013,NA
"MIO_EUR","J","BG311",2013,NA
"MIO_EUR","J","BG312",2013,NA
"MIO_EUR","J","BG313",2013,NA
"MIO_EUR","J","BG314",2013,NA
"MIO_EUR","J","BG315",2013,NA
"MIO_EUR","J","BG32",2013,NA
"MIO_EUR","J","BG321",2013,NA
"MIO_EUR","J","BG322",2013,NA
"MIO_EUR","J","BG323",2013,NA
"MIO_EUR","J","BG324",2013,NA
"MIO_EUR","J","BG325",2013,NA
"MIO_EUR","J","BG33",2013,NA
"MIO_EUR","J","BG331",2013,NA
"MIO_EUR","J","BG332",2013,NA
"MIO_EUR","J","BG333",2013,NA
"MIO_EUR","J","BG334",2013,NA
"MIO_EUR","J","BG34",2013,NA
"MIO_EUR","J","BG341",2013,NA
"MIO_EUR","J","BG342",2013,NA
"MIO_EUR","J","BG343",2013,NA
"MIO_EUR","J","BG344",2013,NA
"MIO_EUR","J","BG4",2013,NA
"MIO_EUR","J","BG41",2013,NA
"MIO_EUR","J","BG411",2013,NA
"MIO_EUR","J","BG412",2013,NA
"MIO_EUR","J","BG413",2013,NA
"MIO_EUR","J","BG414",2013,NA
"MIO_EUR","J","BG415",2013,NA
"MIO_EUR","J","BG42",2013,NA
"MIO_EUR","J","BG421",2013,NA
"MIO_EUR","J","BG422",2013,NA
"MIO_EUR","J","BG423",2013,NA
"MIO_EUR","J","BG424",2013,NA
"MIO_EUR","J","BG425",2013,NA
"MIO_EUR","K","BG",2013,NA
"MIO_EUR","K","BG3",2013,NA
"MIO_EUR","K","BG31",2013,NA
"MIO_EUR","K","BG311",2013,NA
"MIO_EUR","K","BG312",2013,NA
