sektori,naeti,year,month
obshto,2455536,2008,1
selsko,56110,2008,1
dobiwna,28606,2008,1
prerabotwashta,623255,2008,1
energiq,34497,2008,1
woda,32664,2008,1
stroitelstwo,229072,2008,1
tyrgowiq,393650,2008,1
transport,146611,2008,1
hoteli,101862,2008,1
informaciq,54541,2008,1
finansi,46380,2008,1
imoti,24541,2008,1
nauka,70851,2008,1
administratiwni,108126,2008,1
dyrvawnouprawlenie,131317,2008,1
obrazowanie,180107,2008,1
zdraweopazwane,130438,2008,1
kultura,30943,2008,1
drugi,31965,2008,1
obshto,2464259,2008,2
selsko,57208,2008,2
dobiwna,28715,2008,2
prerabotwashta,623736,2008,2
energiq,34382,2008,2
woda,32585,2008,2
stroitelstwo,232566,2008,2
tyrgowiq,394523,2008,2
transport,146044,2008,2
hoteli,101823,2008,2
informaciq,54938,2008,2
finansi,46843,2008,2
imoti,24318,2008,2
nauka,71175,2008,2
administratiwni,109560,2008,2
dyrvawnouprawlenie,131927,2008,2
obrazowanie,180097,2008,2
zdraweopazwane,130798,2008,2
kultura,30919,2008,2
drugi,32102,2008,2
obshto,2478101,2008,3
selsko,61636,2008,3
dobiwna,28806,2008,3
prerabotwashta,621426,2008,3
energiq,34282,2008,3
woda,32817,2008,3
stroitelstwo,236333,2008,3
tyrgowiq,396936,2008,3
transport,146433,2008,3
hoteli,101749,2008,3
informaciq,54942,2008,3
finansi,47685,2008,3
imoti,24321,2008,3
nauka,70871,2008,3
administratiwni,112364,2008,3
dyrvawnouprawlenie,133298,2008,3
obrazowanie,180244,2008,3
zdraweopazwane,130945,2008,3
kultura,30732,2008,3
drugi,32281,2008,3
obshto,2488316,2008,4
selsko,64758,2008,4
dobiwna,28830,2008,4
prerabotwashta,631220,2008,4
energiq,34222,2008,4
woda,33053,2008,4
stroitelstwo,229138,2008,4
tyrgowiq,393662,2008,4
transport,146348,2008,4
hoteli,113212,2008,4
informaciq,56770,2008,4
finansi,48039,2008,4
imoti,24054,2008,4
nauka,71324,2008,4
administratiwni,105151,2008,4
dyrvawnouprawlenie,133246,2008,4
obrazowanie,179677,2008,4
zdraweopazwane,130692,2008,4
kultura,30593,2008,4
drugi,34327,2008,4
obshto,2503391,2008,5
selsko,66786,2008,5
dobiwna,28816,2008,5
prerabotwashta,624988,2008,5
energiq,33897,2008,5
woda,33086,2008,5
stroitelstwo,232149,2008,5
tyrgowiq,394729,2008,5
transport,146824,2008,5
hoteli,127977,2008,5
informaciq,56710,2008,5
finansi,48737,2008,5
imoti,24201,2008,5
nauka,71209,2008,5
administratiwni,105995,2008,5
dyrvawnouprawlenie,133074,2008,5
obrazowanie,178588,2008,5
zdraweopazwane,130420,2008,5
kultura,30778,2008,5
drugi,34427,2008,5
obshto,2517729,2008,6
selsko,67073,2008,6
dobiwna,28728,2008,6
prerabotwashta,624632,2008,6
energiq,33828,2008,6
woda,33001,2008,6
stroitelstwo,231651,2008,6
tyrgowiq,396956,2008,6
transport,147078,2008,6
hoteli,139636,2008,6
informaciq,56486,2008,6
finansi,49294,2008,6
imoti,24502,2008,6
nauka,71076,2008,6
administratiwni,107962,2008,6
dyrvawnouprawlenie,133331,2008,6
obrazowanie,175708,2008,6
zdraweopazwane,130696,2008,6
kultura,31030,2008,6
drugi,35061,2008,6
obshto,2621733,2008,7
selsko,69950,2008,7
dobiwna,29387,2008,7
prerabotwashta,640727,2008,7
energiq,33859,2008,7
woda,34278,2008,7
stroitelstwo,258818,2008,7
tyrgowiq,419541,2008,7
transport,153415,2008,7
hoteli,152561,2008,7
informaciq,58816,2008,7
finansi,51621,2008,7
imoti,27118,2008,7
nauka,74353,2008,7
administratiwni,115888,2008,7
dyrvawnouprawlenie,133717,2008,7
obrazowanie,170243,2008,7
zdraweopazwane,130526,2008,7
kultura,33232,2008,7
drugi,33683,2008,7
obshto,2608601,2008,8
selsko,70071,2008,8
dobiwna,29511,2008,8
prerabotwashta,635237,2008,8
energiq,33833,2008,8
woda,34183,2008,8
stroitelstwo,258943,2008,8
tyrgowiq,420682,2008,8
transport,153022,2008,8
hoteli,148244,2008,8
informaciq,58805,2008,8
finansi,52065,2008,8
imoti,26766,2008,8
nauka,73571,2008,8
administratiwni,115430,2008,8
dyrvawnouprawlenie,133844,2008,8
obrazowanie,167790,2008,8
zdraweopazwane,129991,2008,8
kultura,33059,2008,8
drugi,33554,2008,8
obshto,2578059,2008,9
selsko,70068,2008,9
dobiwna,29381,2008,9
prerabotwashta,627567,2008,9
energiq,33672,2008,9
woda,33896,2008,9
stroitelstwo,256519,2008,9
tyrgowiq,418799,2008,9
transport,151684,2008,9
hoteli,133109,2008,9
informaciq,58757,2008,9
finansi,52577,2008,9
imoti,26159,2008,9
nauka,73775,2008,9
administratiwni,114932,2008,9
dyrvawnouprawlenie,133617,2008,9
obrazowanie,168275,2008,9
